tissue,cell_type,gene,n_cells,n_donors,age_range,frac_detected,slope_per_year,se,p,q
Large_Intestine,colon endothelial cell,IL4R,348,5,24.0,0.3994252873563218,-0.026911406769169574,0.004879651055191054,3.487266412533888e-08,2.069111404770107e-07
Large_Intestine,colon endothelial cell,CXCL8,348,5,24.0,0.0603448275862069,0.004024382146181129,0.0027810586813013763,0.147877766349451,0.24372446676113219
Large_Intestine,colon macrophage,STAT6,328,5,24.0,0.5609756097560976,-0.00045772163791104497,0.0011745907463752451,0.6967687071123028,0.7950309606794224
Large_Intestine,colon macrophage,IL18,328,5,24.0,0.7530487804878049,0.007209620903466392,0.008957921912957413,0.42091671704069766,0.567599815403365
Large_Intestine,colon macrophage,IL6,328,5,24.0,0.1524390243902439,-0.00010421141000199632,0.00293760286073267,0.9717009949086624,0.982743051668988
Large_Intestine,colon macrophage,TNF,328,5,24.0,0.3932926829268293,0.005122856441829015,0.0019985850137488465,0.010369983092702373,0.025636902645847535
Large_Intestine,colon macrophage,IL4R,328,5,24.0,0.5396341463414634,-0.03284007471823957,0.0026937289806568416,3.4583345884963505e-34,4.3970254053739315e-33
Large_Intestine,colon macrophage,IL2RA,328,5,24.0,0.3170731707317073,0.008650106355788913,0.002746017298722028,0.0016323955871264438,0.004686555072717855
Large_Intestine,colon macrophage,CXCL8,328,5,24.0,0.8079268292682927,0.003933833348793253,0.020269251898883178,0.8461141323550891,0.9111278398432628
Large_Intestine,colon macrophage,IL1B,328,5,24.0,0.5640243902439024,-0.010004613800408013,0.015317789274315182,0.5136680085090211,0.6438937008070827
Large_Intestine,enterocyte of epithelium of large intestine,STAT6,4567,5,24.0,0.3952266257937377,0.03512649139690633,0.003154746936225434,8.523353135249612e-29,9.482230362965193e-28
Large_Intestine,enterocyte of epithelium of large intestine,IL18,4567,5,24.0,0.41537114079264287,0.047684943323893274,0.01060762042086761,6.94563183477638e-06,2.687657536065643e-05
Large_Intestine,enterocyte of epithelium of large intestine,IL4R,4567,5,24.0,0.3945697394350777,0.024106466466397178,0.015410199416052834,0.1177426916886146,0.20152114539012886
Large_Intestine,enteroglial cell,STAT6,848,5,24.0,0.14976415094339623,-0.005008257733722775,0.0008525036867649581,4.234468635164064e-09,2.6919122037828693e-08
Large_Intestine,enteroglial cell,IL6,848,5,24.0,0.13443396226415094,0.0033935296242737496,0.00554203131926752,0.5403221201241606,0.6587488861787711
Large_Intestine,fibroblast,IL33,2597,5,24.0,0.15325375433192145,-0.002167560486916608,0.0027568966408839587,0.43173155502235705,0.573494155178952
Large_Intestine,fibroblast,STAT6,2597,5,24.0,0.3423180592991914,-0.002739854910619526,0.002187462075664255,0.21037796292873723,0.32848488948522125
Large_Intestine,fibroblast,IL1RL1,2597,5,24.0,0.05506353484790143,-0.00559255903740104,0.0010389579201651798,7.331390798369504e-08,3.8381987120875637e-07
Large_Intestine,fibroblast,IL18,2597,5,24.0,0.12475933769734308,-0.0006392311513307787,0.003373309062205888,0.8497034910897845,0.9111278398432628
Large_Intestine,fibroblast,IL6,2597,5,24.0,0.11513284559106661,-0.001839749134571982,0.0021590486191530194,0.3941524727052008,0.5396856933963519
Large_Intestine,fibroblast,IL4R,2597,5,24.0,0.33885252214093187,-0.019360553930698174,0.005440451675014318,0.00037279442236788944,0.001228840873731191
Large_Intestine,fibroblast,CXCL8,2597,5,24.0,0.050827878321139774,0.0005803681806983577,0.0010555092530422298,0.5824245888715234,0.694076700290859
Large_Intestine,gamma-delta T cell,GATA3,1856,5,24.0,0.34752155172413796,0.009937511697317564,0.0048380410876111765,0.03997218484846174,0.086768889061295
Large_Intestine,gamma-delta T cell,STAT6,1856,5,24.0,0.1627155172413793,0.0019903537932401683,0.0006182744922527694,0.0012854549452978362,0.003813516337716914
Large_Intestine,gamma-delta T cell,TNFSF14,1856,5,24.0,0.10129310344827586,0.0008831097514397301,0.0006660989220594656,0.18490804185441112,0.2992148313644107
Large_Intestine,gamma-delta T cell,CDKN2A,1856,5,24.0,0.06303879310344827,8.49843199622619e-05,0.0006513838709900977,0.8961966933750226,0.9495417346473454
Large_Intestine,gamma-delta T cell,IL4R,1856,5,24.0,0.5727370689655172,-0.010302001780502867,0.002714948405892064,0.00014791272390188135,0.0005265692970906976
Large_Intestine,gamma-delta T cell,IL2RA,1856,5,24.0,0.10452586206896551,0.0004534947815721316,0.00131763622933224,0.730716204692635,0.8232119268056268
Large_Intestine,intestinal crypt stem cell of colon,STAT6,1732,5,24.0,0.45669745958429564,-0.008794313441194539,0.007610587963074535,0.24787072665383791,0.3739066893591792
Large_Intestine,intestinal crypt stem cell of colon,IL18,1732,5,24.0,0.6206697459584296,0.02048434972013693,0.014051092310305165,0.14488258371678905,0.24329339529800426
Large_Intestine,intestinal crypt stem cell of colon,IL4R,1732,5,24.0,0.3042725173210162,0.0035447750580694303,0.006489325207460262,0.5848960957507239,0.694076700290859
Large_Intestine,intestinal crypt stem cell of colon,CXCL8,1732,5,24.0,0.12759815242494227,-0.02810237471728972,0.031101384102289676,0.366221799029977,0.5092771892760617
Large_Intestine,large intestine goblet cell,STAT6,1557,4,5.0,0.3699421965317919,0.023205218502259185,0.012541971123846054,0.06428399918608159,0.1243755636426361
Large_Intestine,large intestine goblet cell,IL18,1557,4,5.0,0.12588310854206808,0.024646775847179385,0.009893282559415982,0.012728960203687127,0.030618309679139304
