drug,pt,a,b,c,d,n_drug_reports,n_pt_reports,ror,ror_lower,ror_upper,signal_ror_gt2
upadacitinib,eczema,0,1,3161,1150855,1,3161,121.34066107860193,4.941876091685719,2979.3454465123586,True
upadacitinib,allergic_rhinitis,0,1,2766,1151250,1,2766,138.7132357370926,5.649260846717647,3405.996340182076,True
upadacitinib,asthma,0,1,15499,1138517,1,15499,24.485037151736076,0.9973598507229869,601.1040487415902,False
upadacitinib,bronchospasm,0,1,1993,1152023,1,1993,192.6299640498286,7.844423671157325,4730.277787808946,True
upadacitinib,wheezing,0,1,9011,1145005,1,9011,42.35349275925207,1.7251554722015643,1039.8009789916664,True
abatacept,hypersensitivity,89,1712,24822,1127394,1801,24911,2.373683700257228,1.918508192841424,2.936851836176943,True
abatacept,anaphylaxis,10,1791,9686,1142530,1801,9696,0.6913109026881948,0.376764747476037,1.2684593433358913,False
abatacept,urticaria,27,1774,35590,1116626,1801,35617,0.48621743871556644,0.33357435024828375,0.7087097600135157,False
abatacept,angioedema,3,1798,4670,1147546,1801,4673,0.47815039457193165,0.16747743721405395,1.365125975369944,False
abatacept,pruritus,85,1716,50291,1101925,1801,50376,1.0913899521860957,0.8781691293466852,1.3563811205922394,False
abatacept,rash,111,1690,68888,1083328,1801,68999,1.0372253740096284,0.8562041378530655,1.2565186605931116,False
abatacept,eczema,8,1793,3153,1149063,1801,3161,1.7269061608368645,0.8794663818139627,3.3909253952212555,False
abatacept,allergic_rhinitis,3,1798,2763,1149453,1801,2766,0.8094490921032187,0.2834417745973907,2.3116135002943796,False
abatacept,asthma,28,1773,15471,1136745,1801,15499,1.1807133920796062,0.815217032261723,1.710077266624826,False
abatacept,bronchospasm,1,1800,1992,1150224,1801,1993,0.4809306072445372,0.09694270648208214,2.385886028747808,False
abatacept,wheezing,19,1782,8992,1143224,1801,9011,1.3907726752190641,0.8896773059942471,2.1741013523711255,False
methotrexate,hypersensitivity,5929,94497,18982,1034609,100426,24911,3.4199582760478706,3.3191812233412485,3.5237951238270893,True
methotrexate,anaphylaxis,573,99853,9123,1044468,100426,9696,0.6575124800392996,0.6041585791182027,0.7155781219533872,False
