tissue,cell_type,score,n_cells,n_donors,age_range,slope_per_year,se,p,q
Large_Intestine,"CD8-positive, alpha-beta T cell",treg_score,2962,5,24.0,0.0022944720777885196,0.0005359124215186127,1.8569526809565844e-05,6.53135080888178e-05
Large_Intestine,"CD8-positive, alpha-beta T cell",targets_score,2962,5,24.0,-0.006548948862906781,0.00026873806118498457,3.623110778836575e-131,4.619466243016633e-130
Large_Intestine,"CD8-positive, alpha-beta T cell",t2_receptor_score,2962,5,24.0,-0.0024086683517906596,0.0006005266828330997,6.0480952804751605e-05,0.00018694112685105043
Large_Intestine,colon endothelial cell,aging_sasp_score,348,5,24.0,0.000816413120736666,0.00371746699417413,0.8261706716344701,0.8687567887290304
Large_Intestine,colon endothelial cell,th2_score,348,5,24.0,-0.008576916011231055,0.002245874230159181,0.0001340125480112062,0.0003905508542040866
Large_Intestine,colon endothelial cell,alarmin_score,348,5,24.0,0.01377953874160417,0.004760382563823531,0.0037960757706817687,0.008238292098075327
Large_Intestine,colon endothelial cell,treg_score,348,5,24.0,9.826277055653303e-05,0.0008762332770568107,0.9107106186249688,0.9271828633355458
Large_Intestine,colon endothelial cell,targets_score,348,5,24.0,0.00059207569749073,0.002099706708373613,0.7779586999500435,0.8265811186969212
Large_Intestine,colon endothelial cell,t2_receptor_score,348,5,24.0,-0.00608541092802781,0.0010518734070661042,7.237987908013539e-09,3.209890289640787e-08
Large_Intestine,colon macrophage,aging_sasp_score,328,5,24.0,-0.0019086963847979653,0.010104393427620076,0.8501730190310454,0.875935837789562
Large_Intestine,colon macrophage,th2_score,328,5,24.0,-0.0003906624028314023,0.0011168561372376534,0.7264981224441895,0.7883277498862482
Large_Intestine,colon macrophage,alarmin_score,328,5,24.0,0.0016309736808189043,0.0005094743104058673,0.00136815004478184,0.0034887826141936917
Large_Intestine,colon macrophage,treg_score,328,5,24.0,0.006403467991076785,0.0021710169877320164,0.0031826324486611606,0.007213966883631964
Large_Intestine,colon macrophage,targets_score,328,5,24.0,0.002565721391233461,0.0049027527858246005,0.6007497683426093,0.6733678722081995
Large_Intestine,colon macrophage,t2_receptor_score,328,5,24.0,0.0010365185397911304,0.0005148118992612554,0.04407332890110068,0.07492465913187116
Large_Intestine,enterocyte of epithelium of large intestine,aging_sasp_score,4567,5,24.0,0.013286030018173212,0.001398063745321232,2.0360653743348683e-21,1.4834190584439754e-20
Large_Intestine,enterocyte of epithelium of large intestine,th2_score,4567,5,24.0,0.013013976304806612,0.006070898650158684,0.03205969427120188,0.058394443136831994
Large_Intestine,enterocyte of epithelium of large intestine,alarmin_score,4567,5,24.0,0.00752311206001679,0.0030687532966198194,0.014225402604655301,0.028450805209310603
Large_Intestine,enterocyte of epithelium of large intestine,treg_score,4567,5,24.0,0.0008044794634087978,0.0018579124879695222,0.6650134575073341,0.7372975289755226
Large_Intestine,enterocyte of epithelium of large intestine,targets_score,4567,5,24.0,0.05802476977768293,0.010286670121835494,1.6928854994364533e-08,7.194763372604927e-08
Large_Intestine,enterocyte of epithelium of large intestine,t2_receptor_score,4567,5,24.0,0.01217167721230874,0.0060390758936991465,0.04385367705151488,0.07492465913187116
Large_Intestine,enteroglial cell,aging_sasp_score,848,5,24.0,0.00659042260155014,0.003188255652066414,0.03872534249814486,0.06929798131246975
Large_Intestine,enteroglial cell,th2_score,848,5,24.0,-0.0012801585022009707,0.000518249417449856,0.013505298097243882,0.027550808118377523
Large_Intestine,enteroglial cell,alarmin_score,848,5,24.0,0.003572199213265537,0.0008361676171865582,1.9363286969652404e-05,6.583517569681817e-05
Large_Intestine,enteroglial cell,treg_score,848,5,24.0,0.005747081128767791,0.00019012944462410854,1.0403145689613697e-200,3.537069534468657e-199
Large_Intestine,enteroglial cell,targets_score,848,5,24.0,-0.007428827589490314,0.0010185441410711748,3.0183765408698405e-13,1.6203916166774934e-12
Large_Intestine,enteroglial cell,t2_receptor_score,848,5,24.0,-0.0010510879986055115,0.0008853440824765106,0.23514539851743466,0.31149130712699136
Large_Intestine,fibroblast,aging_sasp_score,2597,5,24.0,0.004023173802145109,0.0028387858245060914,0.1564196708645847,0.21855899216695393
Large_Intestine,fibroblast,th2_score,2597,5,24.0,-0.0045588438281954115,0.0023642920924499193,0.05382942249362866,0.08579064209922067
Large_Intestine,fibroblast,alarmin_score,2597,5,24.0,-0.002170310858019425,0.0035294997682299495,0.5386167489904974,0.617291105584615
Large_Intestine,fibroblast,treg_score,2597,5,24.0,0.0005583289992032416,0.00039838769651888694,0.1610731268372093,0.22201971537020743
Large_Intestine,fibroblast,targets_score,2597,5,24.0,-0.00894698267138005,0.0030699639675830018,0.0035641770884253326,0.007903175283030086
Large_Intestine,fibroblast,t2_receptor_score,2597,5,24.0,-0.008008913264913828,0.0016216254328575781,7.859742851358516e-07,3.0834375801483404e-06
Large_Intestine,gamma-delta T cell,aging_sasp_score,1856,5,24.0,-0.0014587184125534286,0.0004220981667968096,0.0005485100558909773,0.0015121088027264778
Large_Intestine,gamma-delta T cell,th2_score,1856,5,24.0,0.003334873474508455,0.0008154947754465316,4.325153026105965e-05,0.00014231148666542207
Large_Intestine,gamma-delta T cell,alarmin_score,1856,5,24.0,-0.0002495570275275085,9.886791614212622e-06,1.4056351914416168e-140,2.0482112789577844e-139
Large_Intestine,gamma-delta T cell,treg_score,1856,5,24.0,-0.008723968616275612,0.0007855902744670911,1.1863658373072723e-28,9.308408877333983e-28
Large_Intestine,gamma-delta T cell,targets_score,1856,5,24.0,-0.003370115748138245,0.0006885147821644378,9.842494768584932e-07,3.718275801465419e-06
Large_Intestine,gamma-delta T cell,t2_receptor_score,1856,5,24.0,-0.0028386684650708862,0.0008895056784020268,0.001416401981793371,0.0035237317595835085
Large_Intestine,intestinal crypt stem cell of colon,aging_sasp_score,1732,5,24.0,0.00478401549398603,0.00743520153368379,0.5199465383068091,0.6026653057647106
Large_Intestine,intestinal crypt stem cell of colon,th2_score,1732,5,24.0,-0.006924156488251715,0.009162945088684024,0.4498474827068101,0.5335400376290073
Large_Intestine,intestinal crypt stem cell of colon,alarmin_score,1732,5,24.0,-0.009179794395140328,0.00583288482239613,0.11553368369754093,0.17323932219431348
Large_Intestine,intestinal crypt stem cell of colon,treg_score,1732,5,24.0,0.0017961667522008384,0.0030780293879148317,0.5595268899074969,0.6341304752284965
Large_Intestine,intestinal crypt stem cell of colon,targets_score,1732,5,24.0,0.015510922736936687,0.013977803609769149,0.2671359071510745,0.3363933645606123
Large_Intestine,intestinal crypt stem cell of colon,t2_receptor_score,1732,5,24.0,0.0002914624435441347,0.007074543751973623,0.9671374407020378,0.9671374407020378
Large_Intestine,large intestine goblet cell,aging_sasp_score,1557,4,5.0,0.007807386288163388,0.003519424760904009,0.026529615250126353,0.049200377372961596
Large_Intestine,large intestine goblet cell,th2_score,1557,4,5.0,0.01199745409598538,0.005840627124865202,0.03996233750189831,0.07027859353782116
Large_Intestine,large intestine goblet cell,alarmin_score,1557,4,5.0,0.019706807568297936,0.02065129308862831,0.3399494862645569,0.4079393835174683
Large_Intestine,large intestine goblet cell,treg_score,1557,4,5.0,-0.007831218657494445,0.0034649719724990607,0.02381440939043358,0.045831504864608026
Large_Intestine,large intestine goblet cell,targets_score,1557,4,5.0,0.01828904267681514,0.012134149345746742,0.13174983878271312,0.19041608831483645
Large_Intestine,large intestine goblet cell,t2_receptor_score,1557,4,5.0,0.027167426728756317,0.02700565671116684,0.31442027120421345,0.38639599593770807
