method,n_snps,beta,se,p,or,or_lower,or_upper,outcome,exposure,trait,source,n_harmonised,steiger_applied,egger_intercept,egger_intercept_p,cochran_Q,cochran_Q_p,presso_outliers_removed
IVW_random,160,-0.016520407574854064,0.00557034790442603,0.003019196952711578,0.9836153059828638,0.9729347210206257,0.9944131391968819,L12_ATOPIC,L12_ATOPIC,lymphocyte_pct,panukbb,178,True,,,,,
MR_Egger,160,-0.016048268841339697,0.005756400998942794,0.005305095954024841,0.9840798185162467,0.9730392924762981,0.9952456151554211,L12_ATOPIC,L12_ATOPIC,lymphocyte_pct,panukbb,178,True,-0.0002563384873364178,0.7346669646082895,512.7224170068979,0.0,
weighted_median,160,0.0030264024426749684,0.006310936074084279,0.6315481902826228,1.0030309866219047,0.99070047825125,1.0155149636140213,L12_ATOPIC,L12_ATOPIC,lymphocyte_pct,panukbb,178,True,,,,,
IVW_PRESSO_corrected,160,-0.013101921674840719,0.0031670313778130094,3.5191828702929584e-05,0.9869835348787922,0.9808759272795902,0.9931291726401669,L12_ATOPIC,L12_ATOPIC,lymphocyte_pct,panukbb,178,True,,,,,3.0
IVW_fixed,161,0.006864362411993275,0.003140269544471753,0.02882182203295791,1.0068879761478136,1.0007096858127231,1.0131044106839704,L12_ATOPIC,L12_ATOPIC,monocyte_pct,panukbb,178,True,,,,,
IVW_random,161,0.006864362411993275,0.004792342796052912,0.15204068351988353,1.0068879761478136,0.9974745648222638,1.0163902241373837,L12_ATOPIC,L12_ATOPIC,monocyte_pct,panukbb,178,True,,,,,
MR_Egger,161,0.006023681760868132,0.004995180165396081,0.2278565138909283,1.0060418606147263,0.9962402143967846,1.0159399416755839,L12_ATOPIC,L12_ATOPIC,monocyte_pct,panukbb,178,True,0.00039542977944474853,0.5422626816626793,372.63348589880377,0.0,
weighted_median,161,0.0018341464479442935,0.005809073697969916,0.7522012326192493,1.0018358295233856,0.990493834001634,1.0133077005254272,L12_ATOPIC,L12_ATOPIC,monocyte_pct,panukbb,178,True,,,,,
IVW_PRESSO_corrected,161,0.010611285231923494,0.0032357298496451005,0.0010402433828506918,1.0106677845858052,1.0042783809773874,1.0170978387541123,L12_ATOPIC,L12_ATOPIC,monocyte_pct,panukbb,178,True,,,,,4.0
IVW_fixed,144,0.022053293428343515,0.003435016564838443,1.3614753768820265e-10,1.0222982647980243,1.0154386239411,1.0292042449132521,L12_ATOPIC,L12_ATOPIC,eosinophil_pct,panukbb,178,True,,,,,
IVW_random,144,0.022053293428343515,0.006070978334566111,0.00028060531216733686,1.0222982647980243,1.0102059044754101,1.0345353730156213,L12_ATOPIC,L12_ATOPIC,eosinophil_pct,panukbb,178,True,,,,,
MR_Egger,144,0.02211476101776683,0.006486055283857192,0.0006506164490598376,1.0223611049393293,1.0094464311839697,1.0354410066781212,L12_ATOPIC,L12_ATOPIC,eosinophil_pct,panukbb,178,True,-2.583534225794002e-05,0.9780041103589207,446.6792024757454,0.0,
weighted_median,144,-0.00766427388183324,0.016035725078258282,0.6326858335981509,0.9923650217741471,0.9616600251049701,1.0240504031903674,L12_ATOPIC,L12_ATOPIC,eosinophil_pct,panukbb,178,True,,,,,
IVW_PRESSO_corrected,144,0.028033711615711065,0.003591277175386072,5.995204332975845e-15,1.0284303538859156,1.0212167498258227,1.0356949129303885,L12_ATOPIC,L12_ATOPIC,eosinophil_pct,panukbb,178,True,,,,,6.0
IVW_fixed,100,0.05954556912003077,0.00643702226493627,0.0,1.061354124851089,1.0480476008028328,1.0748295950255624,L12_ATOPIC,L12_ATOPIC,eosinophil_pct_astle,astle,181,True,,,,,
IVW_random,100,0.05954556912003077,0.00913227267902852,7.014588909726172e-11,1.061354124851089,1.0425256874938622,1.0805226114345055,L12_ATOPIC,L12_ATOPIC,eosinophil_pct_astle,astle,181,True,,,,,
MR_Egger,100,0.05830226924661061,0.010223355952507378,1.1782040454377807e-08,1.0600353633798707,1.039006004879,1.081490353606527,L12_ATOPIC,L12_ATOPIC,eosinophil_pct_astle,astle,181,True,0.0004016504665660201,0.7833398425822657,199.2612787526985,9.939788880863887e-09,
weighted_median,100,0.033098985456409706,0.028005174282008063,0.23725005853487646,1.0336528507767482,0.97844455585633,1.0919762489595608,L12_ATOPIC,L12_ATOPIC,eosinophil_pct_astle,astle,181,True,,,,,
IVW_PRESSO_corrected,100,0.033098985456409706,0.028005174282008063,0.23725005853487646,1.0336528507767482,0.97844455585633,1.0919762489595608,L12_ATOPIC,L12_ATOPIC,eosinophil_pct_astle,astle,181,True,,,,,0.0
IVW_fixed,121,0.006723949402052679,0.005154507904672585,0.1920701772076141,1.0067466059017527,0.9966268159205456,1.0169691526497133,L12_ATOPIC,L12_ATOPIC,wbc_astle,astle,181,True,,,,,
