prism_name,target_gene,chembl_id,chembl_name,matrix_row_id,prism_id,name,dose,mean_lfc,median_lfc,std_lfc,n_cell_lines,target_median_gene_effect,abs_essentiality,senolytic_proxy
PF-8380,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K50865540-001-02-3,BRD-K50865540-001-02-3,PF-8380,2.5,0.01252435785763461,0.0341148856230353,0.5800000739326044,895,-1.1977861924570643,1.1977861924570643,-0.0056986243250680925
PF-06928215,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K00005326-001-01-9,BRD-K00005326-001-01-9,PF-06928215,2.5,0.01775804226713446,0.0595251380702328,0.4152731175952443,895,-1.1977861924570643,1.1977861924570643,-0.008079968073364524
PF-05180999,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K00003097-001-01-9,BRD-K00003097-001-01-9,PF-05180999,2.5,0.025304671518983714,0.0581794056285661,0.4695930904229521,895,-1.1977861924570643,1.1977861924570643,-0.011513709388943694
PF-8380,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K50865540-001-02-3,BRD-K50865540-001-02-3,PF-8380,2.5,0.01252435785763461,0.0341148856230353,0.5800000739326044,895,0.006465410950045,0.006465410950045,-0.01244390291148937
PF-03882845,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K51041191-001-02-9,BRD-K51041191-001-02-9,PF-03882845,2.5,0.027486199971062643,0.0367570995043701,0.4060984169850226,895,-1.1977861924570643,1.1977861924570643,-0.01250631206320112
PF-06651600,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K47084954-001-02-9,BRD-K47084954-001-02-9,PF-06651600,2.5,0.03527195939118648,0.0369926412260222,0.47651319170903383,890,-1.1977861924570643,1.1977861924570643,-0.01604885839771038
PF-750,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K83213911-001-08-9,BRD-K83213911-001-08-9,PF-750,2.5,0.036460057171421596,0.0530623087842973,0.4759496542579215,893,-1.1977861924570643,1.1977861924570643,-0.016589446824515835
PF-06928215,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K00005326-001-01-9,BRD-K00005326-001-01-9,PF-06928215,2.5,0.01775804226713446,0.0595251380702328,0.4152731175952443,895,0.006465410950045,0.006465410950045,-0.017643966771169906
PF-06282999,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K00003279-001-01-9,BRD-K00003279-001-01-9,PF-06282999,2.5,0.05318760671559724,0.0758364856667254,0.4366179428167398,895,-1.1977861924570643,1.1977861924570643,-0.02420053729436482
JNJ-39758979,SRC,CHEMBL3545133,JNJ-26483327,BRD:BRD-K00003403-001-01-9,BRD-K00003403-001-01-9,JNJ-39758979,2.5,0.02826278461811372,0.0714438490813474,0.46226379134519024,895,-0.14711551734479106,0.14711551734479106,-0.024638132943692635
