trait,outcome,outcome_pretty,scheme,k,fe_beta,fe_se,fe_p,re_beta,re_se,re_p,Q,Q_p,I2,tau2,re_or,re_or_lo,re_or_hi,fe_or,fe_or_lo,fe_or_hi,cohorts
PhenoAge,L12_ATOPIC,Atopic dermatitis,all_cohorts,3,-0.0012320677161426956,0.001832716895722884,0.5014162949249319,-0.006030931079012343,0.005872129074503783,0.3044000549580612,15.454476486660333,0.0004406594322531321,87.05876577749937,8.693181082744296e-05,0.9939872184812487,0.9826126315835636,1.0054934760118308,0.9987686909676706,0.9951874248969169,1.002362844527101,"FinnGen R12 (discovery); EAGLE AD (EUR, Paternoster 2015); Budu-Aggrey AD EUR meta 2023"
PhenoAge,ALLERG_RHINITIS,Allergic rhinitis,primary,2,0.0003805778485876236,0.00032695275548085033,0.2444180111935883,-0.0010893142361668897,0.0027217245830091067,0.6889875515461326,1.8558776485645496,0.17310133362491453,46.11713758320966,9.552961040421974e-06,0.9989112788512132,0.9935966946798978,1.0042542898531184,1.000380650277525,0.9997397843098222,1.0010219270613172,FinnGen R12 (discovery); UKBB Neale hayfever/rhinitis/eczema
PhenoAge,ALLERG_RHINITIS,Allergic rhinitis,all_cohorts,2,0.0003805778485876236,0.00032695275548085033,0.2444180111935883,-0.0010893142361668897,0.0027217245830091067,0.6889875515461326,1.8558776485645496,0.17310133362491453,46.11713758320966,9.552961040421974e-06,0.9989112788512132,0.9935966946798978,1.0042542898531184,1.000380650277525,0.9997397843098222,1.0010219270613172,FinnGen R12 (discovery); UKBB Neale hayfever/rhinitis/eczema
Frailty,ALLERG_ASTHMA,Asthma,primary,3,0.9657509323849515,0.05501473305556543,0.0,0.8698270711301832,0.19497201237624773,8.146701014233315e-06,20.001009058316626,4.5377029951443326e-05,90.00050450370463,0.09752503681723836,2.3864981234155276,1.6285367737993837,3.4972334580928757,2.6267594347728758,2.35825527552486,2.9258347049102498,FinnGen R12 (discovery); HanY UKBB asthma 2020; TAGC EUR asthma 2018
Frailty,ALLERG_ASTHMA,Asthma,all_cohorts,4,0.10744638578583916,0.00952513772884582,0.0,0.6476835256892912,0.3270817843330074,0.0476823729533884,270.9252743407764,0.0,98.89268359797745,0.414406752784215,1.9111086633732315,1.0066250777748953,3.628298563049475,1.1134311634093892,1.092837053108141,1.1344133621067012,FinnGen R12 (discovery); HanY UKBB asthma 2020; TAGC EUR asthma 2018; UKBB Neale asthma 20002_1111
Frailty,L12_ATOPIC,Atopic dermatitis,primary,2,0.7456561274437502,0.033539147047259806,0.0,0.677905783303426,0.30071968508099334,0.024178681729779772,76.20419708703386,0.0,98.68773632132375,0.17849283866364127,1.9697483299674061,1.0925290090537305,3.551309348545245,2.1078239825289655,1.973718642579017,2.251041179566909,FinnGen R12 (discovery); Budu-Aggrey AD EUR meta 2023
Frailty,L12_ATOPIC,Atopic dermatitis,all_cohorts,3,0.7288704631251558,0.033266062204909325,0.0,0.41238642897770944,0.2724349412993982,0.13010040042239734,91.64852961594613,0.0,97.81775004096518,0.2022156223963325,1.5104179928507993,0.885514846231621,2.576311987129247,2.072738050860695,1.941904089579869,2.212386827206943,"FinnGen R12 (discovery); EAGLE AD (EUR, Paternoster 2015); Budu-Aggrey AD EUR meta 2023"
Frailty,ALLERG_RHINITIS,Allergic rhinitis,primary,2,0.14501144493048188,0.005120345580983621,0.0,0.32715546769070086,0.19108410761568786,0.08687788745847103,25.988634994876183,3.4343315480356296e-07,96.15216420486433,0.07031851377639886,1.387017096763925,0.9537350387817022,2.017139298114604,1.1560528011362508,1.1445088209029552,1.167713218636951,FinnGen R12 (discovery); UKBB Neale hayfever/rhinitis/eczema
Frailty,ALLERG_RHINITIS,Allergic rhinitis,all_cohorts,2,0.14501144493048188,0.005120345580983621,0.0,0.32715546769070086,0.19108410761568786,0.08687788745847103,25.988634994876183,3.4343315480356296e-07,96.15216420486433,0.07031851377639886,1.387017096763925,0.9537350387817022,2.017139298114604,1.1560528011362508,1.1445088209029552,1.167713218636951,FinnGen R12 (discovery); UKBB Neale hayfever/rhinitis/eczema
BloodIndex93,ALLERG_ASTHMA,Asthma,primary,3,0.9907189726935757,0.030202690455531325,0.0,1.0132397585589,0.08922709623240929,0.0,10.723151544920658,0.004693504382449198,81.34876680962921,0.018869275895426342,2.754510523940662,2.31255887593326,3.280923268791549,2.6931700921924167,2.538368874619115,2.857411788335159,FinnGen R12 (discovery); HanY UKBB asthma 2020; TAGC EUR asthma 2018
BloodIndex93,ALLERG_ASTHMA,Asthma,all_cohorts,4,0.1224525269465675,0.004388236299175818,0.0,0.7939626848333564,0.31596082417902865,0.011975967654066721,854.9922464304026,0.0,99.649119625058,0.3951779699042479,2.2121451145550592,1.1908644469860645,4.109272067223854,1.1302654616477028,1.1205857994558401,1.1400287371248614,FinnGen R12 (discovery); HanY UKBB asthma 2020; TAGC EUR asthma 2018; UKBB Neale asthma 20002_1111
BloodIndex93,L12_ATOPIC,Atopic dermatitis,primary,2,0.4812536600488568,0.030763607353915576,0.0,0.5039959300518563,0.13500684031487992,0.000189126917266913,18.650718129287224,1.5698813108033782e-05,94.63827616144334,0.0345022897120631,1.6553226260660958,1.2704644255535806,2.156764834381264,1.6181016806003599,1.5234187542032656,1.7186693031956481,FinnGen R12 (discovery); Budu-Aggrey AD EUR meta 2023
BloodIndex93,L12_ATOPIC,Atopic dermatitis,all_cohorts,3,0.4807738701604704,0.029468939556133694,0.0,0.4958102107902208,0.10033667491299086,7.753756452455463e-07,18.653670103833306,8.90034832002895e-05,89.27824932644755,0.025877547697872774,1.6418279270226963,1.3487123574125788,1.998646284462748,1.6173255179880026,1.526556810422683,1.7134913114769028,"FinnGen R12 (discovery); EAGLE AD (EUR, Paternoster 2015); Budu-Aggrey AD EUR meta 2023"
BloodIndex93,ALLERG_RHINITIS,Allergic rhinitis,primary,2,0.1074586952981287,0.0057861056746953896,0.0,0.28915404564796715,0.19019858023278333,0.1284420078260733,33.19050901354363,8.355737435294941e-09,96.9870904974915,0.07023292790141894,1.3352974094406431,0.9197667519170548,1.9385558000901584,1.1134448692883347,1.1008888821567684,1.1261440614385032,FinnGen R12 (discovery); UKBB Neale hayfever/rhinitis/eczema
BloodIndex93,ALLERG_RHINITIS,Allergic rhinitis,all_cohorts,2,0.1074586952981287,0.0057861056746953896,0.0,0.28915404564796715,0.19019858023278333,0.1284420078260733,33.19050901354363,8.355737435294941e-09,96.9870904974915,0.07023292790141894,1.3352974094406431,0.9197667519170548,1.9385558000901584,1.1134448692883347,1.1008888821567684,1.1261440614385032,FinnGen R12 (discovery); UKBB Neale hayfever/rhinitis/eczema
