trait,tissue,study_id,is_age,is_allergy,is_blood
M36808_dimethylarginine_SDMA_+_ADMA,Whole blood,24014485_Petersen-A-K_m36808_dimethylarginine_sdma___adma_no_snps_model,False,False,True
M36808_dimethylarginine_SDMA_+_ADMA,Whole blood,24014485_Petersen-A-K_m36808_dimethylarginine_sdma___adma_snps_as_covariates_model,False,False,True
M37202_4-androsten-3betacomma17beta-diol_disulfate_1*,Whole blood,24014485_Petersen-A-K_m37202_4-androsten-3betacomma17beta-diol_disulfate_1__no_snps_model,False,False,True
M37202_4-androsten-3betacomma17beta-diol_disulfate_1*,Whole blood,24014485_Petersen-A-K_m37202_4-androsten-3betacomma17beta-diol_disulfate_1__snps_as_covariates_model,False,False,True
Smoking,Lymphocytes,24120260_smoking,False,False,False
Age,Whole blood,24163245_age,True,False,True
Fasting insulin,CD4+ T-cells,24170695_fasting_insulin_discovery,False,False,False
Fasting insulin,CD4+ T-cells,24170695_fasting_insulin_replication,False,False,False
HOMA-IR,CD4+ T-cells,24170695_homair_discovery,False,False,False
HOMA-IR,CD4+ T-cells,24170695_homair_replication,False,False,False
Chronic kidney disease,Whole blood,24253112_chronic_kidney_disease,False,False,True
Age at menarche,Whole blood,24278132_age_at_menarche,True,False,True
Age at menarche,Whole blood,24278132_Battram-T_age_at_menarche_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse51057,True,False,True
Smoking,Whole Blood,24334605_smoking,False,False,True
n-3 PUFA intake,Whole Blood,24477300_n3_pufa_intake,False,False,True
Pancreatic ductal adenocarcinoma,Pancreatic ductal adenocarcinoma and adjacent nontransformed pancreata,24500968_pancreatic_ductal_adenocarcinoma,False,False,False
Smoking,Peripheral blood mononuclear cells,24559495_Battram-T_smoking_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse53045,False,False,True
Smoking,Peripheral Blood,24559495_smoking,False,False,True
Birth weight,Cord blood,24561991_birth_weight,False,False,True
Birth weight,Cord blood,24561991_birth_weight_adjusted_for_cell_counts,False,False,True
Frontotemporal dementia,Whole blood,24603599_Battram-T_frontotemporal_dementia_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse53740,False,False,True
Progressive supranuclear palsy,Whole blood,24603599_Battram-T_progressive_supranuclear_palsy_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse53740,False,False,True
Frontotemporal dementia,Whole blood,24603599_frontotemporal_dementia,False,False,True
Frontotemporal dementia,Whole blood,24603599_frontotemporal_dementia_dataset_2,False,False,True
Progressive supranuclear palsy,Whole blood,24603599_progressive_supranuclear_palsy,False,False,True
Body mass index,Adipose,24630777_body_mass_index_adipose_tissue,False,False,False
Body mass index,Whole blood,24630777_body_mass_index_discovery,False,False,True
Body mass index,Whole blood,24630777_body_mass_index_replication_1,False,False,True
Body mass index,Whole blood,24630777_body_mass_index_replication_2,False,False,True
Body mass index,Skin,24630777_body_mass_index_skin_tissue,False,False,False
Depression,Saliva,24655651_depression,False,False,False
Smoking,Whole Blood,24704585_smoking,False,False,True
Maternal smoking during pregnancy,Whole blood,24906187_maternal_smoking_during_pregnancy_model_1,False,False,True
Maternal smoking during pregnancy,Whole blood,24906187_maternal_smoking_during_pregnancy_model_2,False,False,True
Triglycerides,CD4+ T-cells,24920721_triglycerides,False,False,False
Very low-density lipoprotein cholesterol,CD4+ T-cells,24920721_very_lowdensity_lipoprotein_cholesterol,False,False,False
High vs low risk anal cancer,Anal tumour,25003289_high_vs_low_risk_anal_cancer,False,False,False
Schizophrenia,Whole blood,25052007_schizophrenia,False,False,True
Sunlight duration,CD4+ T-cells,25075435_sunlight_duration,False,False,False
Sunlight duration,CD4+ T-cells,25075435_sunlight_duration_adjusted_for_vitamin_d_intake,False,False,False
Alzheimers disease Braak stage,Prefrontal cortex,25129075_alzheimers_disease_braak_score_replication,False,False,False
Alzheimers disease,Cerebral cortex,25129075_alzheimers_disease_discovery,False,False,False
Burden of neuritic amyloid plaques,Cerebral cortex,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_1,False,False,False
Burden of neuritic amyloid plaques,Cerebral cortex,25129075_burden_of_neuritic_amyloid_plaques_discovery_model_3,False,False,False
Alzheimers disease Braak stage,Cross-cortex,25129077_alzheimers_disease_braak_stage_crosscortex_model,False,False,False
Alzheimers disease Braak stage,Whole blood,25129077_alzheimers_disease_braak_stage_discovery_in_blood,False,False,True
Alzheimers disease Braak stage,Cerebellum,25129077_alzheimers_disease_braak_stage_discovery_in_cerebellum,False,False,False
Alzheimers disease Braak stage,Entorhinal cortex,25129077_alzheimers_disease_braak_stage_discovery_in_entorhinal_cortex,False,False,False
Alzheimers disease Braak stage,Prefrontal cortex,25129077_alzheimers_disease_braak_stage_discovery_in_prefrontal_cortex,False,False,False
Alzheimers disease Braak stage,Superior temporal gyrus,25129077_alzheimers_disease_braak_stage_discovery_in_superior_temporal_gyrus,False,False,False
Alzheimers disease Braak stage,Prefrontal cortex,25129077_alzheimers_disease_braak_stage_replication_in_prefrontal_cortex,False,False,False
Alzheimers disease Braak stage,Superior temporal gyrus,25129077_alzheimers_disease_braak_stage_replication_in_superior_temporal_gyrus,False,False,False
Sex,Whole blood,25249537_sex_discovery,False,False,True
Sex,Whole blood,25249537_sex_replication,False,False,True
Smoking,Whole blood,25249537_smoking_current_vs_never_smoking_discovery,False,False,True
Smoking,Whole blood,25249537_smoking_current_vs_never_smoking_replication,False,False,True
Age,"Fetal liver, adult liver",25282492_Battram-T_age_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse61278__compared_fetal_liver_tissue_to_adult_liver_tissue_of_different_individuals,True,False,False
Fetal vs adult liver,Liver,25282492_fetal_vs_adult_liver,False,False,False
Migration in Italy,Whole blood,25324151_migration_in_italy_southtonorth_migrants_vs_northwestern_natives,False,False,True
Migration in Italy,Whole blood,25324151_migration_in_italy_southtonorth_migrants_vs_northwestern_natives_adjusted_for_diet,False,False,True
Migration in Italy,Whole blood,25324151_migration_in_italy_southtonorth_migrants_vs_southern_natives,False,False,True
Migration in Italy,Whole blood,25324151_migration_in_italy_southtonorth_migrants_vs_southern_natives_adjusted_for_diet,False,False,True
Blood arsenic concentration,Whole blood,25325195_blood_arsenic_concentration_discovery,False,False,True
High vs low arsenic exposure,Whole blood,25325195_high_vs_low_arsenic_exposure_replication,False,False,True
Urinary arsenic concentrations,Urine,25325195_urinary_arsenic_concentration_discovery,False,False,False
Maternal smoking in pregnancy,Whole blood,25325234_maternal_smoking_in_pregnancy_discovery,False,False,True
Maternal smoking in pregnancy,Whole blood,25325234_maternal_smoking_in_pregnancy_discovery_adjusted_for_current_participant_and_parent_smoking,False,False,True
Maternal smoking in pregnancy,Whole blood,25325234_maternal_smoking_in_pregnancy_discovery_adjusted_for_current_participant_smoking,False,False,True
Maternal smoking in pregnancy,Whole blood,25325234_maternal_smoking_in_pregnancy_replication_at_17,False,False,True
Maternal smoking in pregnancy,Whole blood,25325234_maternal_smoking_in_pregnancy_replication_at_17_adjusted_for_current_parent_and_participant_smoking,False,False,True
Maternal smoking in pregnancy,Whole blood,25325234_maternal_smoking_in_pregnancy_replication_at_age_7,False,False,True
Maternal smoking in pregnancy,Whole blood,25325234_maternal_smoking_in_pregnancy_replication_at_age_7_adjusted_for_current_parent_smoking,False,False,True
Maternal smoking in pregnancy,Cord blood,25325234_maternal_smoking_in_pregnancy_replication_at_birth,False,False,True
Sex,Whole blood,25381334_Battram-T_sex_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse60275,False,False,True
Age,Monocytes,25404168_age_monocytes,True,False,False
Age,T cells,25404168_age_t_cells,True,False,False
Smoking,Whole blood,25424692_Battram-T_smoking_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse50660__former_vs_current_smokers,False,False,True
Smoking,Whole blood,25424692_Battram-T_smoking_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse50660__never_vs_current_smokers,False,False,True
Smoking,Whole blood,25424692_Battram-T_smoking_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse50660__never_vs_former_smokers,False,False,True
Smoking,Whole blood,25424692_smoking,False,False,True
Birth weight,Whole blood,25476734_birth_weight,False,False,True
Maternal smoking in pregnancy,Cord blood,25552657_maternal_smoking_in_pregnancy_adjusted_model,False,False,True
Maternal smoking in pregnancy,Cord blood,25552657_maternal_smoking_in_pregnancy_unadjusted_model,False,False,True
Smoking,Whole blood,25556184_smoking_current_vs_never_smoking,False,False,True
Smoking,Whole blood,25556184_smoking_former_vs_never_smoking,False,False,True
High-density lipoprotein cholesterol,Whole blood,25583993_highdensity_lipoprotein_cholesterol_discovery,False,False,True
High-density lipoprotein cholesterol,Whole blood,25583993_highdensity_lipoprotein_cholesterol_replication,False,False,True
Low-density lipoprotein cholesterol,Whole blood,25583993_lowdensity_lipoprotein_cholesterol_discovery,False,False,True
Low-density lipoprotein cholesterol,Whole blood,25583993_lowdensity_lipoprotein_cholesterol_replication,False,False,True
Triglycerides,Whole blood,25583993_triglycerides_discovery,False,False,True
Triglycerides,Whole blood,25583993_triglycerides_replication,False,False,True
Borderline personality disorder vs major depressive disorder,Whole blood,25612291_borderline_personality_disorder_vs_major_depressive_disorder,False,False,True
Fluid type general intelligence,Whole blood,25617346_fluid_type_general_intelligence,False,False,True
